English,French,German,Spanish,Italian,Russian
you,tu,Sie,usted,voi,ты
i,je,ich,I,io,я
the,le,das,la,il,
to,à,zu,a,per,к
a,une,ein,a,un,
s,s,s,s,S,s
it,il,es,eso,esso,Это
and,et,und,y,e,и
that,cette,Das,ese,quello,который
t,t,t,t,t,T
of,de,von,de,di,из
is,est,ist,es,è,является
in,dans,im,en,nel,в
what,Quel,Was,qué,che cosa,Какие
we,nous,wir,nosotros,noi,мы
me,moi,mich,me,me,мне
this,ce,Dies,esta,Questo,это
he,il,er,él,lui,он
for,pour,zum,por,per,за
my,ma,meine,mi,mio,мой
on,sur,auf,en,su,на
have,ont,haben,tengo,avere,имеют
your,ton,Ihre,tu,il tuo,ваш
do,fais,machen,hacer,fare,делать
was,était,war,estaba,era,был
m,m,m,metro,m,м
no,non,Nein,No,no,нет
not,ne pas,nicht,no,non,нет
be,être,Sein,ser,essere,быть
are,sommes,sind,son,siamo,находятся
don,enfiler,Don,don,don,Дон
re,ré,Re,re,ri,ре
know,connaître,kennt,saber,conoscere,знать
can,peut,kann,lata,può,может
with,avec,mit,con,con,с
but,mais,aber,pero,ma,но
all,tout,alle,todos,tutti,все
so,alors,so,asi que,così,так
just,seulement,gerade,solo,appena,только
there,là,Dort,allí,Là,там
here,ici,Hier,aquí,Qui,здесь
they,elles ou ils,Sie,ellos,essi,Oни
like,aimer,mögen,me gusta,piace,подобно
ll,ll,ll,ll,ll,Л.Л.
get,obtenir,erhalten,obtener,ottenere,получать
she,elle,sie,ella,lei,она
go,aller,gehen,Vamos,partire,идти
if,si,wenn,si,Se,если
right,droit,richtig,derecho,giusto,верно
out,en dehors,aus,fuera,su,из
about,à propos de,Über,sobre,di,о
up,en haut,oben,hasta,su,вверх
at,à,beim,a,a,в
him,lui,ihm,él,lui,ему
now,à présent,jetzt,ahora,adesso,сейчас же
oh,Oh,Oh,Oh,Oh,ой
one,une,einer,uno,uno,один
come,viens,Kommen Sie,venir,venire,приехать
well,bien,Gut,bien,bene,Что ж
her,sa,ihr,su,sua,ее
how,comment,Wie,cómo,Come,как
yeah,Ouais,Ja,sí,si,Да
ve,ve,ve,cinco,ve,ве
will,volonté,werden,será,volontà,буду
got,a obtenu,bekam,tiene,avuto,получил
want,vouloir,wollen,querer,volere,хотеть
think,pense,denken,pensar,pensare,считать
as,comme,wie,como,come,в качестве
see,voir,sehen,ver,vedere,видеть
did,a fait,tat,hizo,fatto,сделал
good,bon,gut,bien,bene,хороший
who,qui,WHO,quién,Oms,ВОЗ
why,Pourquoi,Warum,por qué,perché,Почему
from,de,von,desde,a partire dal,из
let,laisser,Lassen,dejar,permettere,позволять
his,ses,seine,su,il suo,его
yes,Oui,Ja,sí,sì,да
when,lorsque,wann,cuando,quando,когда
going,Aller,gehen,yendo,andando,собирается
time,temps,Zeit,hora,tempo,время
an,une,ein,un,un,
okay,d'accord,in Ordnung,bueno,va bene,Ладно
back,retour,zurück,espalda,indietro,назад
look,voir,aussehen,Mira,Guarda,Смотреть
us,nous,uns,nosotros,noi,нас
would,aurait,würde,haría,voluto,бы
them,leur,Sie,ellos,loro,их
where,où,wo,dónde,dove,куда
were,étaient,wurden,fueron,erano,мы
take,prendre,nehmen,llevar,prendere,брать
then,alors,dann,entonces,poi,тогда
had,eu,hätten,tenía,aveva,имел
or,ou,oder,o,o,или же
been,été,gewesen,estado,stato,был
our,notre,unser,Ntro,nostro,наш
gonna,va,Gonna,ir a,andando,собираюсь
tell,raconter,sagen,contar,raccontare,рассказать
really,vraiment,Ja wirklich,De Verdad,veramente,В самом деле
man,homme,Mann,hombre,uomo,человек
some,quelques,etwas,algunos,alcuni,немного
say,dire,sagen,decir,dire,сказать
hey,Hé,Hallo,Oye,Hey,Привет
could,pouvait,könnten,pudo,poteva,мог
d,ré,d,D,d,d
didn,didn,didn,didn,didn,А не было
by,par,durch,por,di,к
need,avoir besoin,brauchen,necesitar,bisogno,необходимость
something,quelque chose,etwas,algo,qualcosa,что нибудь
has,a,hat,posee,ha,имеет
too,trop,auch,también,pure,тоже
more,Suite,Mehr,más,Di più,более
way,chemin,Weg,camino,modo,путь
down,vers le bas,Nieder,abajo,giù,вниз
make,Fabriquer,machen,hacer,rendere,делать
very,très,sehr,muy,molto,очень
never,jamais,noch nie,nunca,mai,никогда
only,seul,nur,solamente,solo,Только
people,gens,Menschen,gente,persone,люди
over,plus de,Über,sobre,al di sopra di,над
because,car,weil,porque,perché,потому что
little,peu,wenig,poco,piccolo,маленький
please,s'il te plaît,Bitte,por favor,Per favore,пожалуйста
love,aimer,Liebe,amor,amore,люблю
should,devrait,sollte,debería,dovrebbero,должен
mean,moyenne,bedeuten,significar,significare,иметь в виду
said,mentionné,sagte,dicho,disse,сказал
sorry,Pardon,Es tut uns leid,perdón,scusa,Извините
give,donner,geben,dar,dare,дайте
off,désactivé,aus,apagado,via,выключенный
am,un m,Uhr,soy,am,являюсь
thank,remercier,danken,agradecer,grazie,благодарить
any,tout,irgendein,alguna,qualunque,любой
two,deux,zwei,dos,Due,два
even,même,sogar,incluso,anche,четное
much,beaucoup,viel,mucho,tanto,много
doing,Faire,tun,haciendo,fare,делает
sure,Bien sur,sicher,Por supuesto,sicuro,Конечно
thing,chose,Ding,cosa,cosa,вещь
these,ces,diese,estos,questi,эти
help,aider,Hilfe,ayuda,Aiuto,помощь
first,première,zuerst,primero,primo,первый
into,dans,in,en,in,в
anything,n'importe quoi,etwas,cualquier cosa,nulla,что-либо
still,toujours,immer noch,todavía,ancora,Все еще
find,trouver,finden,encontrar,trova,найти
life,la vie,Leben,vida,vita,жизнь
nothing,rien,nichts,nada,Niente,ничего
sir,Monsieur,Herr,señor,signore,сэр
day,journée,Tag,día,giorno,день
god,Dieu,Gott,Dios,Dio,Бог
work,travailler,Arbeit,trabaja,opera,работай
their,leur,ihr,su,loro,их
uh,euh,äh,Oh,uh,Эм-м-м
again,de nouveau,nochmal,otra vez,ancora,опять таки
maybe,peut être,kann sein,quizás,può essere,может быть
must,doit,Muss,deber,dovere,должен
before,avant que,Vor,antes de,prima,перед
other,autre,andere,otro,altro,Другой
wait,attendre,warten,Espere,aspettare,ждать
stop,arrêter,Stop,detener,fermare,остановка
call,appeler,Anruf,llamada,chiamata,вызов
after,après,nach dem,después,dopo,после
won,a gagné,gewonnen,ganado,ha vinto,выиграл
talk,parler,sich unterhalten,hablar,parlare,разговаривать
away,une façon,Weg,lejos,lontano,прочь
than,que,als,que,di,чем
thought,pensée,habe gedacht,pensamiento,pensato,мысль
home,domicile,Zuhause,hogar,casa,дома
night,nuit,Nacht-,noche,notte,ночь
put,mettre,stellen,poner,mettere,положить
great,génial,großartig,estupendo,grande,здорово
those,celles,jene,aquellos,quelli,те
last,dernier,letzte,último,scorso,последний
better,meilleurs,besser,mejor,meglio,лучше
everything,tout,alles,todo,qualunque cosa,все
told,Raconté,erzählte,dijo,detto,сказал
mr.,m.,Herr.,señor.,Sig.,Мистер.
new,Nouveau,Neu,nuevo,nuovo,новый
things,des choses,Dinge,cosas,cose,вещи
always,toujours,immer,siempre,sempre,всегда
keep,garder,behalten,mantener,mantenere,держать
long,longue,lange,largo,lungo,длинный
years,années,Jahre,años,anni,годы
leave,Pars,verlassen,salir,partire,покинуть
does,Est-ce que,tut,hace,fa,делает
money,de l'argent,Geld,dinero,i soldi,Деньги
around,autour de,um,alrededor,in giro,вокруг
doesn,doesn,doesn,doesn,doesn,Безразлично
name,Nom,Name,nombre,nome,имя
place,lieu,Platz,sitio,posto,место
ever,déjà,je,alguna vez,mai,Когда-либо
feel,ressentir,Gefühl,sentir,sentire,Чувствовать
guys,les gars,Jungs,tipo,ragazzi,ребята
father,père,Vater,padre,padre,отец
guy,mec,Kerl,chico,tipo,парень
made,fabriqué,gemacht,hecho,fatto,сделали
old,vieille,alt,viejo,vecchio,Старый
isn,ISN,isn,ISN,ISN,ISN
which,lequel,welche,cuales,quale,который
big,gros,groß,grande,grande,большой
lot,parcelle,Menge,lote,lotto,много
done,Fini,getan,hecho,fatto,сделано
hello,Bonjour,Hallo,Hola,Ciao,Привет
nice,joli,nett,bonito,simpatico,отлично
believe,croire,glauben,creer,credere,полагать
girl,fille,Mädchen,muchacha,ragazza,девочка
someone,Quelqu'un,jemand,alguien,qualcuno,кто-то
fine,bien,fein,multa,bene,отлично
thanks,Merci,Vielen Dank,Gracias,Grazie,Благодарность
wanted,voulait,wollte,querido,ricercato,в розыске
kind,gentil,nett,tipo,genere,своего рода
coming,à venir,Kommen,próximo,In arrivo,приходящий
house,loger,Haus,casa,Casa,жилой дом
every,chaque,jeder,cada,ogni,каждый
ok,d'accord,OK,OK,ok,Ok
through,par,durch,a través de,attraverso,через
being,étant,Sein,siendo,essere,существование
course,cours,Kurs,curso,corso,курс
stay,rester,bleibe,Quédate,rimanere,оставаться
left,gauche,links,izquierda,sinistra,оставили
dad,père,Papa,padre,papà,папа
enough,suffisant,genug,suficiente,abbastanza,довольно
happened,arrivé,passiert,sucedió,è accaduto,получилось
came,venu,kam,llegó,è venuto,пришел
may,peut,kann,mayo,Maggio,май
mother,mère,Mutter,madre,madre,мать
wrong,mal,falsch,equivocado,sbagliato,неправильный
world,monde,Welt,mundo,mondo,Мир
bad,mal,Schlecht,malo,male,Плохо
might,force,könnte,podría,potrebbe,мог бы
three,Trois,drei,Tres,tre,три
today,aujourd'hui,heute,hoy dia,oggi,сегодня
listen,Ecoutez,Hör mal zu,escucha,ascolta,Слушать
another,un autre,Ein weiterer,otro,un altro,еще один
understand,comprendre,verstehen,comprender,capire,понимать
hear,écouter,hören,oír,sentire,слышать
remember,rappelles toi,merken,recuerda,ricorda,Помните
ask,interroger,Fragen,pedir,Chiedi,просить
own,propre,besitzen,propio,proprio,собственный
same,même,gleich,mismo,stesso,одно и тоже
show,Afficher,Show,show,spettacolo,Показать
else,autre,sonst,demás,altro,еще
kill,tuer,töten,matar,uccidere,убийство
talking,parlant,sprechen,hablando,parlando,говорящий
found,a trouvé,gefunden,encontró,trovato,найденный
next,suivant,Nächster,próximo,Il prossimo,следующий
getting,obtenir,bekommen,consiguiendo,ottenere,получающий
care,se soucier,Pflege,cuidado,cura,забота
car,auto,Wagen,auto,macchina,машина
looking,en regardant,Suche,mirando,guardare,смотрящий
son,fils,Sohn,hijo,figlio,сын
try,essayer,Versuchen,tratar,provare,пытаться
woman,femme,Frau,mujer,donna,женщина
went,allé,ging,fue,andato,шел
hi,salut,Hallo,Hola,Ciao,Здравствуй
dead,morte,tot,muerto,morto,мертвых
many,de nombreux,viele,muchos,molti,много
mind,esprit,Verstand,mente,mente,разум
wasn,WASN,wasn,wasn,wasn,WASN
friend,ami,Freund,amigo,amico,друг
best,meilleur,Beste,mejor,migliore,Лучший
mom,maman,Mama,mamá,mamma,Мама
hell,enfer,Hölle,infierno,inferno,ад
morning,Matin,Morgen,Mañana,mattina,утро
trying,en essayant,versuchen,difícil,provando,пытающийся
boy,garçon,Junge,niño,ragazzo,мальчик
together,ensemble,zusammen,juntos,insieme,вместе
yourself,toi même,dich selbst,tú mismo,te stesso,себя
job,travail,Job,trabajo,lavoro,работа
saw,scie,sah,Sierra,sega,увидел
family,famille,Familie,familia,famiglia,семья
real,réel,echt,verdadero,vero,настоящий
without,sans pour autant,ohne,sin que,senza,без
baby,de bébé,Baby,bebé,bambino,детка
room,salle,Zimmer,habitación,camera,комната
wouldn,wouldn,wouldn,wouldn,wouldn,Wouldn
already,déjà,bereits,ya,già,уже
move,bouge toi,Bewegung,moverse,mossa,двигаться
most,les plus,die meisten,más,maggior parte,наиболее
seen,vu,gesehen,visto,visto,видимый
live,habitent,wohnen,En Vivo,vivere,жить
miss,Mademoiselle,Fräulein,extranar,Perdere,скучать
actually,réellement,tatsächlich,Realmente,in realtà,фактически
huh,hein,huh,eh,eh,Хм
shit,merde,Scheisse,mierda,merda,дерьмо
both,tous les deux,beide,ambos,entrambi,обе
heard,entendu,gehört,Escuchó,sentito,слышал
once,une fois,Einmal,una vez,una volta,однажды
ready,prêt,bereit,Listo,pronto,готовы
head,diriger,Kopf,cabeza,capo,голова
called,appelé,namens,llamado,chiamato,называется
